model_type,train_acc,val_acc,test_acc
cnn,0.8026,0.7861,0.
decision-tree,1.0,0.75,0.6310344827586207
logistic-regression,0.7493472584856397,0.75,0.7896551724137931
knn,1.0,0.8020833333333334,0.8172413793103448
