Length,Complexity,Loyalty
15,0.468,95.0
24,0.39,95.5
46,0.338,95.0
60,0.208,97.0
65,0.363,95.0
70,0.389,95.0
80,0.238,96.5
82,0.101,95.0
84,0.025,95.0
96,0.216,96.0
99,0.139,95.0
128,0.364,96.25
131,0.756,99.0
136,0.036,95.0
140,0.017,96.0
144,0.159,95.0
150,0.049,95.8
152,0.013,95.0
176,1.0,100.0
