Length,Complexity,Loyalty
15,0.421,90.0
24,0.351,93.5
46,0.258,91.0
60,0.155,90.0
65,0.253,90.0
70,0.339,93.0
80,0.169,90.6
82,0.08,90.0
84,0.025,95.0
96,0.148,92.5
99,0.092,90.0
128,0.161,91.75
131,0.414,91.0
136,0.032,90.0
140,0.016,90.0
144,0.132,93.5
150,0.032,92.6
152,0.013,95.0
176,1.0,100.0
