Length,Complexity,Loyalty
15,0.328,85.0
24,0.32,87.0
46,0.211,88.0
60,0.155,90.0
65,0.22,87.0
70,0.225,88.0
80,0.139,86.6
82,0.079,87.0
84,0.024,89.0
96,0.087,85.0
99,0.092,90.0
128,0.152,88.5
131,0.389,89.0
136,0.015,85.0
140,0.016,90.0
144,0.074,85.0
150,0.023,89.2
152,0.012,87.0
176,1.0,100.0
