Length,Complexity,Loyalty
15,0.457,95.0
24,0.418,95.0
46,0.321,97.0
60,0.367,95.0
65,0.307,95.0
70,0.445,95.0
80,0.202,96.0
82,0.086,95.0
84,0.03,100.0
96,0.179,95.0
99,0.123,95.0
128,0.228,96.75
131,0.399,95.0
136,0.007,100.0
140,0.007,100.0
144,0.152,95.5
150,0.053,97.2
152,0.007,100.0
176,0.193,95.0
