Length,Complexity,Loyalty
15,0.116,80.0
24,0.158,81.0
46,0.121,83.0
60,0.134,80.0
65,0.207,82.0
70,0.156,80.0
80,0.107,80.8
82,0.07,81.0
84,0.023,83.0
96,0.051,82.5
99,0.074,80.0
128,0.097,81.25
131,0.309,84.0
136,0.015,84.0
140,0.016,90.0
144,0.068,80.0
150,0.021,84.8
152,0.012,87.0
176,0.134,80.0
