Length,Complexity,Loyalty
15,0.385,90.0
24,0.309,91.0
46,0.207,91.0
60,0.23,91.0
65,0.212,92.0
70,0.295,90.0
80,0.163,92.9
82,0.076,91.0
84,0.03,100.0
96,0.161,93.0
99,0.072,90.0
128,0.187,94.25
131,0.293,90.0
136,0.007,100.0
140,0.007,100.0
144,0.128,93.0
150,0.046,95.0
152,0.007,100.0
176,0.155,90.0
