Length,Complexity,Loyalty
15,0.111,87.0
24,0.228,81.5
46,0.139,82.0
60,0.168,83.0
65,0.156,86.0
70,0.223,81.0
80,0.128,85.1
82,0.062,87.0
84,0.03,100.0
96,0.105,84.5
99,0.048,82.0
128,0.12,84.25
131,0.237,81.5
136,0.007,100.0
140,0.007,100.0
144,0.085,83.5
150,0.042,94.0
152,0.007,100.0
176,0.114,80.0
