Length,Complexity,Loyalty
15,0.111,87.0
24,0.266,85.5
46,0.154,86.0
60,0.199,89.0
65,0.156,86.0
70,0.252,85.0
80,0.141,88.1
82,0.062,87.0
84,0.03,100.0
96,0.124,86.5
99,0.055,85.0
128,0.142,87.5
131,0.265,85.5
136,0.007,100.0
140,0.007,100.0
144,0.099,88.5
150,0.042,94.0
152,0.007,100.0
176,0.128,87.0
