model_type,train_acc,val_acc,test_acc
decision-tree,0.5490196078431373,0.25,0.3872549019607843
logistic-regression,0.396078431372549,0.171875,0.4313725490196078
knn,1.0,0.828125,0.8333333333333334
cnn,0.8654509782791138,0.7590625286102295,0.8578431606292725
