model_type,train_acc,val_acc,test_acc
decision-tree,0.1529411764705882,0.078125,0.1884057971014492
logistic-regression,0.0784313725490196,0.0625,0.1304347826086956
knn,1.0,0.75,0.7028985507246377
cnn,0.7892941236495972,0.7445312738418579,0.5797101259231567
miniRocket,1.0,0.78125,0.6666666666666666
