model_type,train_acc,val_acc,test_acc
decision-tree,0.3543307086614173,0.171875,0.2483660130718954
logistic-regression,0.2204724409448819,0.25,0.2810457516339869
knn,1.0,0.5625,0.5816993464052288
cnn,0.7056692838668823,0.6792187690734863,0.4379085004329681
miniRocket,1.0,0.59375,0.5163398692810458
