model_type,train_acc,val_acc,test_acc
decision-tree,1.0,0.75,0.5637583892617449
logistic-regression,0.9032258064516128,0.5,0.7516778523489933
knn,1.0,0.25,0.6845637583892618
cnn,0.9558064341545105,0.75,0.6912751793861389
