model_type,train_acc,val_acc,test_acc
cnn,0.,0.,0.
decision-tree,0.3607843137254902,0.265625,0.39855072463768115
logistic-regression,0.2823529411764706,0.28125,0.42028985507246375
knn,1.0,0.75,0.7246376811594203
