model_type,train_acc,val_acc,test_acc
decision-tree,0.1410658307210031,0.0875,0.0689102564102564
logistic-regression,0.0783699059561128,0.075,0.0689102564102564
knn,1.0,0.4,0.3493589743589743
cnn,0.8777429461479187,0.8529999852180481,0.3317307829856872
miniRocket,1.0,0.925,0.9551282051282052
