model_type,train_acc,val_acc,test_acc
decision-tree,0.3385854341736695,0.2331932773109243,0.2534370946822308
logistic-regression,0.2570028011204481,0.2331932773109243,0.2539559014267185
knn,0.9868697478991596,0.2850140056022409,0.1701686121919585
cnn,0.9518049955368042,0.9381921291351318,0.3776912987232208
miniRocket,0.9618347338935574,0.9026610644257703,0.7263294422827496
