,Type,Alpha,Mean Loyalty,Kappa Loyalty,Complexity
0,OS,0.0,0.7012448132780082,0.01899592944369055,0.04347826086956521
1,RDP,0.0,1.0,1.0,0.9967526610138914
2,BU,0.0,1.0,1.0,1.0
3,VC,0.0,1.0,1.0,1.0
4,OS,0.01,0.6473029045643154,0.36050323104298687,0.04347826086956521
5,RDP,0.01,0.991701244813278,0.9803489889106327,0.7674544470503337
6,BU,0.01,0.9875518672199171,0.9704088732452012,0.5690059534548079
7,VC,0.01,0.991701244813278,0.9803489889106327,0.7860364423597329
8,OS,0.02,0.6141078838174274,0.283311482748697,0.04510193036261951
9,RDP,0.02,0.9875518672199171,0.9704088732452012,0.6388237416561429
10,BU,0.02,0.970954356846473,0.9320114456131866,0.44163810211077037
11,VC,0.02,0.991701244813278,0.9801955789300683,0.6734620241746347
12,OS,0.03,0.5850622406639004,-0.0650521477815098,0.07198268085874072
13,RDP,0.03,0.983402489626556,0.9610000809126952,0.5372541944795237
14,BU,0.03,0.9626556016597511,0.9132504099508059,0.403030849720368
15,VC,0.03,0.9875518672199171,0.9706372091134305,0.5915569186361176
16,OS,0.04,0.8215767634854771,0.5198535884724089,0.0961573155331048
17,RDP,0.04,0.983402489626556,0.9612975750762807,0.4616633591917735
18,BU,0.04,0.9626556016597511,0.9139046560552535,0.37019664441638095
19,VC,0.04,0.983402489626556,0.9610000809126952,0.5417643875157856
20,OS,0.05,0.8838174273858921,0.711475970583205,0.10445607071982678
21,RDP,0.05,0.975103734439834,0.9423858474778867,0.4057369655421252
22,BU,0.05,0.9543568464730291,0.8947723574008654,0.345661194299116
23,VC,0.05,0.983402489626556,0.9610000809126952,0.4999097961392747
24,OS,0.06,0.8796680497925311,0.704769146284797,0.11131156413494495
25,RDP,0.06,0.983402489626556,0.9612975750762807,0.3664080822659209
26,BU,0.06,0.9585062240663901,0.9054085878012403,0.3274400144326177
27,VC,0.06,0.9875518672199171,0.9708620481199371,0.4685188526068916
28,OS,0.07,0.8713692946058091,0.681854958906443,0.12087317337182028
29,RDP,0.07,0.975103734439834,0.9419463626144211,0.33140898430452825
30,BU,0.07,0.9585062240663901,0.9054085878012403,0.3122857658307776
31,VC,0.07,0.983402489626556,0.9610000809126952,0.43622587046725597
32,OS,0.08,0.8506224066390041,0.622913769123783,0.12772866678693845
33,RDP,0.08,0.970954356846473,0.9325280966284046,0.3016417102651993
34,BU,0.08,0.946058091286307,0.8783914916741062,0.2935233627999279
35,VC,0.08,0.983402489626556,0.9606979778212655,0.4116904203499909
36,OS,0.09,0.8464730290456431,0.6108322786191245,0.13476456792350708
37,RDP,0.09,0.966804979253112,0.9231811299705156,0.2787299296409886
38,BU,0.09,0.9294605809128631,0.8432850093715335,0.27367851344037525
39,VC,0.09,0.983402489626556,0.9606979778212655,0.3866137470683745
40,OS,0.1,0.8547717842323651,0.6348959009652426,0.13927476095976907
41,RDP,0.1,0.9543568464730291,0.8955600204861521,0.2585242648385351
42,BU,0.1,0.91701244813278,0.8162969738547146,0.25563774129532746
43,VC,0.1,0.9875518672199171,0.9706372091134305,0.36568645138011907
44,OS,0.11,0.8672199170124482,0.6702582520950915,0.143784953996031
45,RDP,0.11,0.9585062240663901,0.9054085878012403,0.24535450117265017
46,BU,0.11,0.9128630705394191,0.8078076937682755,0.23940104636478443
47,VC,0.11,0.979253112033195,0.9514367468665619,0.35089301822117985
48,OS,0.12,0.8796680497925311,0.702380445428608,0.15190330146130254
49,RDP,0.12,0.946058091286307,0.8783914916741062,0.23164351434241384
50,BU,0.12,0.9045643153526971,0.7910115748595559,0.22857658307775577
51,VC,0.12,0.975103734439834,0.9410469667318982,0.3341151001262854
52,OS,0.13,0.8921161825726142,0.7363682261864692,0.15659390221901498
