model_type,train_acc,val_acc,test_acc
cnn,tensor(0.8349),tensor(0.8479),tensor(0.)
decision-tree,1.0,0.3645833333333333,0.5527272727272727
logistic-regression,0.7154046997389034,0.75,0.6618181818181819
knn,1.0,0.8333333333333334,0.6909090909090909
