model_type,train_acc,val_acc,test_acc
decision-tree,1.0,1.0,0.9968152866242038
logistic-regression,1.0,1.0,1.0
knn,1.0,1.0,1.0
cnn,0.9888371825218201,0.9918181896209717,1.0
