model_type,train_acc,val_acc,test_acc
decision-tree,1.0,0.75,0.7531512605042017
cnn,tensor(0.9900),tensor(0.7225),tensor(0.9317)
logistic-regression,0.8823529411764706,0.75,0.7373949579831933
