model_type,train_acc,val_acc,test_acc
cnn,tensor(0.8860),tensor(0.7676),tensor(0.)
decision-tree,1.0,0.7619047619047619,0.7714285714285715
logistic-regression,0.9302325581395349,0.7142857142857143,0.8825396825396825
knn,1.0,0.8571428571428571,0.7746031746031746
