model_type,train_acc,val_acc,test_acc
decision-tree,0.7222222222222222,0.8,0.5771812080536913
logistic-regression,0.6666666666666666,0.6,0.4630872483221476
knn,1.0,0.2,0.738255033557047
cnn,0.9411110877990724,0.2399999946355819,0.5100671052932739
miniRocket,1.0,0.6,0.9932885906040269
