model_type,train_acc,val_acc,test_acc
decision-tree,1.0,0.9655172413793104,0.9441340782122905
logistic-regression,1.0,1.0,1.0
knn,1.0,0.8620689655172413,0.8770949720670391
cnn,0.9614912271499634,0.8993103504180908,0.8994413614273071
