Dataset,Method,Value
SonyAIBORobotSurface1,VW,10.026923337856173
SonyAIBORobotSurface1,BU_1,2.06
SonyAIBORobotSurface1,BU_2,2.97
SwedishLeaf,OS,24.094071425043225
SwedishLeaf,RDP,2.14
SwedishLeaf,VW,9.920345573135291
SwedishLeaf,BU_1,4.75744
SwedishLeaf,BU_2,7.724880000000001
TwoLeadECG,OS,5.941294580489765
TwoLeadECG,RDP,1.59
TwoLeadECG,VW,9.360972810351798
TwoLeadECG,BU_1,2.7248075868544603
TwoLeadECG,BU_2,4.2496151737089205
TwoPatterns,OS,11.330147757255936
TwoPatterns,RDP,3.5154719999999995
TwoPatterns,VW,1.0
TwoPatterns,BU_1,5.188544541701074
TwoPatterns,BU_2,8.827089083402146
UMD,OS,7.409971860794963
UMD,RDP,1.7
UMD,VW,1.0
UMD,BU_1,3.711350843817122
UMD,BU_2,5.822701687634244
Wafer,OS,1.0
Wafer,RDP,1.972
Wafer,VW,1.0
Wafer,BU_1,1.0
Wafer,BU_2,1.0
