model_type,train_acc,val_acc,test_acc
cnn,tensor(0.),tensor(0.),tensor(0.)
decision-tree,0.6842105263157895,0.5,0.5771812080536913
logistic-regression,0.6210526315789474,0.5,0.4966442953020134
knn,1.0,0.875,0.8791946308724832
