,Type,Alpha,Mean Loyalty,Kappa Loyalty,Complexity
113,RDP,0.56,0.8529819694868238,0.0,0.04414159078574443
114,OS,0.5700000000000001,1.0,,0.4663209310739915
115,RDP,0.5700000000000001,0.8502080443828016,0.0,0.04402098534643911
116,OS,0.58,1.0,,0.4740999819091841
117,RDP,0.58,0.8488210818307905,0.0,0.0439003799071338
118,OS,0.59,1.0,,0.48362781161430385
119,RDP,0.59,0.8474341192787794,0.0,0.04377977446782849
120,OS,0.6,1.0,,0.492371705963939
121,RDP,0.6,0.8474341192787794,0.0,0.04377977446782849
122,OS,0.61,1.0,,0.5003316649580897
123,RDP,0.61,0.8460471567267683,0.0,0.04365916902852318
124,OS,0.62,1.0,,0.5133570524030634
125,RDP,0.62,0.8446601941747572,0.0,0.04359886630887052
126,OS,0.63,1.0,,0.5232466984260989
127,RDP,0.63,0.8432732316227461,0.0,0.043538563589217864
128,OS,0.64,1.0,,0.5333775553277452
129,RDP,0.64,0.841886269070735,0.0,0.04347826086956521
130,OS,0.65,1.0,,0.5421817523970331
131,RDP,0.65,0.841886269070735,0.0,0.04347826086956521
132,OS,0.66,1.0,,0.5528553337755532
133,RDP,0.66,0.841886269070735,0.0,0.04347826086956521
134,OS,0.67,1.0,,0.5643731532292107
135,RDP,0.67,0.841886269070735,0.0,0.04347826086956521
136,OS,0.68,1.0,,0.574142193812941
137,RDP,0.68,0.841886269070735,0.0,0.04347826086956521
138,OS,0.6900000000000001,1.0,,0.585358499668335
139,RDP,0.6900000000000001,0.841886269070735,0.0,0.04347826086956521
140,OS,0.7000000000000001,1.0,,0.5958511728878972
141,RDP,0.7000000000000001,0.841886269070735,0.0,0.04347826086956521
142,OS,0.71,1.0,,0.6073689923415546
143,RDP,0.71,0.841886269070735,0.0,0.04347826086956521
144,OS,0.72,1.0,,0.6191280226738226
145,RDP,0.72,0.841886269070735,0.0,0.04347826086956521
146,OS,0.73,1.0,,0.6322137128384491
147,RDP,0.73,0.841886269070735,0.0,0.04347826086956521
148,OS,0.74,1.0,,0.6452391002834228
149,RDP,0.74,0.841886269070735,0.0,0.04347826086956521
150,OS,0.75,1.0,,0.6575408550925647
