model_type,train_acc,val_acc,test_acc
decision-tree,0.2901960784313726,0.390625,0.2941176470588235
logistic-regression,0.2509803921568627,0.40625,0.3284313725490196
knn,1.0,0.828125,0.75
cnn,0.7923529148101807,0.7532812356948853,0.7990196347236633
miniRocket,1.0,0.8125,0.7892156862745098
