model_type,train_acc,val_acc,test_acc
decision-tree,1.0,0.4548611111111111,0.5134189031505251
logistic-regression,0.6924413553431799,0.6597222222222222,0.6569428238039673
knn,1.0,0.6354166666666666,0.6977829638273045
cnn,0.9759426712989808,0.9803993105888368,1.0
miniRocket,0.996524761077324,0.8958333333333334,0.8296382730455076
