model_type,train_acc,val_acc,test_acc
cnn,tensor(0.),tensor(0.),tensor(0.)
decision-tree,0.25757575757575757,0.17647058823529413,0.27884615384615385
logistic-regression,0.24242424242424243,0.17647058823529413,0.28846153846153844
knn,1.0,0.4117647058823529,0.9903846153846154
