model_type,train_acc,val_acc,test_acc
cnn,tensor(0.9793),tensor(0.7425),tensor(0.3267)
decision-tree,1.0,0.5,0.8209302325581396
logistic-regression,0.6428571428571429,0.5,0.5372093023255814
knn,1.0,0.5,0.608139534883721
