model_type,train_acc,val_acc,test_acc
cnn,tensor(0.9664),tensor(0.9400),tensor(0.0009)
decision-tree,1.0,0.5,0.5650263620386643
logistic-regression,0.7857142857142857,0.75,0.5615114235500879
knn,1.0,1.0,0.539543057996485
