Type,Alpha,Mean Loyalty,Kappa Loyalty,Complexity,Num Segments
OS,0.0,0.93,0.0,0.01234567901234568,1.0
RDP,0.0,1.0,1.0,0.9601234567901232,77.77
BU,0.0,1.0,1.0,1.0123456790123453,82.0
VC,0.0,1.0,1.0,1.0,81.0
LSF,0.0,0.0,0.0,0.0,0.0
OS,0.1,0.99,0.9279538904899135,0.09716049382716051,7.87
RDP,0.1,0.95,0.42660550458715596,0.07308641975308644,5.92
BU,0.1,0.98,0.8230088495575221,0.0651851851851852,5.28
VC,0.1,0.98,0.8463901689708141,0.1691358024691358,13.7
LSF,0.1,0.0,0.0,0.0,0.0
OS,0.2,0.99,0.9279538904899135,0.14728395061728394,11.93
RDP,0.2,0.93,0.0,0.05098765432098766,4.13
BU,0.2,0.98,0.8230088495575221,0.0614814814814815,4.98
VC,0.2,0.99,0.9177631578947368,0.12654320987654322,10.25
LSF,0.2,0.0,0.0,0.0,0.0
OS,0.30000000000000004,0.99,0.9279538904899135,0.18938271604938264,15.34
RDP,0.30000000000000004,0.93,0.0,0.04987654320987655,4.04
BU,0.30000000000000004,0.95,0.42660550458715596,0.05135802469135803,4.16
VC,0.30000000000000004,0.98,0.8230088495575221,0.10308641975308641,8.35
LSF,0.30000000000000004,0.0,0.0,0.0,0.0
OS,0.4,0.98,0.8463901689708141,0.22308641975308643,18.07
RDP,0.4,0.93,0.0,0.04432098765432099,3.59
BU,0.4,0.95,0.42660550458715596,0.04777777777777779,3.87
VC,0.4,0.97,0.7126436781609196,0.09049382716049381,7.33
LSF,0.4,0.0,0.0,0.0,0.0
OS,0.5,0.99,0.9279538904899135,0.2722222222222222,22.05
RDP,0.5,0.93,0.0,0.020000000000000004,1.62
BU,0.5,0.95,0.42660550458715596,0.04333333333333334,3.51
VC,0.5,0.96,0.5824634655532359,0.08234567901234568,6.67
LSF,0.5,0.0,0.0,0.0,0.0
OS,0.6000000000000001,0.99,0.9279538904899135,0.34975308641975306,28.33
RDP,0.6000000000000001,0.93,0.0,0.013580246913580247,1.1
BU,0.6000000000000001,0.98,0.8230088495575221,0.03691358024691358,2.99
VC,0.6000000000000001,0.96,0.5824634655532359,0.0791358024691358,6.41
LSF,0.6000000000000001,0.0,0.0,0.0,0.0
OS,0.7000000000000001,1.0,1.0,0.4606172839506173,37.31
RDP,0.7000000000000001,0.93,0.0,0.012716049382716053,1.03
BU,0.7000000000000001,0.98,0.8230088495575221,0.033580246913580254,2.72
VC,0.7000000000000001,0.96,0.5824634655532359,0.07604938271604939,6.16
LSF,0.7000000000000001,0.0,0.0,0.0,0.0
OS,0.8,1.0,1.0,0.6188888888888888,50.13
RDP,0.8,0.93,0.0,0.01234567901234568,1.0
BU,0.8,0.98,0.8230088495575221,0.029382716049382723,2.38
VC,0.8,0.96,0.5824634655532359,0.07185185185185186,5.82
LSF,0.8,0.0,0.0,0.0,0.0
OS,0.9,1.0,1.0,0.8132098765432099,65.87
RDP,0.9,0.93,0.0,0.01234567901234568,1.0
BU,0.9,0.97,0.7126436781609196,0.027901234567901237,2.26
VC,0.9,0.96,0.5824634655532359,0.06901234567901235,5.59
LSF,0.9,0.0,0.0,0.0,0.0
