model_type,train_acc,val_acc,test_acc
cnn,tensor(0.),tensor(0.),tensor(0.)
decision-tree,0.06827309236947791,0.016129032258064516,0.03333333333333333
logistic-regression,0.06827309236947791,0.03225806451612903,0.05128205128205128
knn,1.0,0.06451612903225806,0.10512820512820513
