model_type,train_acc,val_acc,test_acc
cnn,tensor(0.9726),tensor(0.9129),tensor(0.0286)
decision-tree,1.0,0.9523809523809523,0.9142857142857143
logistic-regression,0.9418604651162791,0.8095238095238095,0.9428571428571428
knn,1.0,1.0,0.8412698412698413
